plot_id,site,threat,rank_threat
"NAS_1",Nasiger,Agricultural expansion,1
"NAS_2",Nasiger,Agricultural expansion,1
"NAS_3",Nasiger,Agricultural expansion,1
"NAS_4",Nasiger,Agricultural expansion,1
"NAS_5",Nasiger,Agricultural expansion,1
"NAS_6",Nasiger,Agricultural expansion,1
"NAS_7",Nasiger,Agricultural expansion,1
"NAS_8",Nasiger,Agricultural expansion,1
"NAS_9",Nasiger,Agricultural expansion,1
"NAS_10",Nasiger,Agricultural expansion,1
"NAS_11",Nasiger,Agricultural expansion,1
"NAS_12",Nasiger,Agricultural expansion,1
"NAS_13",Nasiger,Agricultural expansion,1
"NAS_14",Nasiger,Agricultural expansion,1
"NAS_15",Nasiger,Agricultural expansion,1
"NAS_16",Nasiger,Agricultural expansion,1
"NAS_17",Nasiger,Agricultural expansion,1
"NAS_18",Nasiger,Agricultural expansion,1
"NAS_19",Nasiger,Agricultural expansion,1
"NAS_20",Nasiger,Agricultural expansion,1
"NAS_21",Nasiger,Agricultural expansion,1
"NAS_22",Nasiger,Agricultural expansion,1
"NAS_23",Nasiger,Agricultural expansion,1
"NAS_24",Nasiger,Agricultural expansion,1
"NAS_25",Nasiger,Agricultural expansion,1
"NAS_26",Nasiger,Agricultural expansion,1
"NAS_27",Nasiger,Agricultural expansion,1
"NAS_28",Nasiger,Agricultural expansion,1
"NAS_29",Nasiger,Agricultural expansion,1
"NAS_30",Nasiger,Agricultural expansion,1
"NAS_31",Nasiger,Agricultural expansion,1
"NAS_32",Nasiger,Agricultural expansion,1
"NAS_33",Nasiger,Agricultural expansion,1
"NAS_34",Nasiger,Agricultural expansion,1
"NAS_35",Nasiger,Agricultural expansion,1
"NAS_36",Nasiger,Agricultural expansion,1
"NAS_37",Nasiger,Agricultural expansion,1
"NAS_38",Nasiger,Agricultural expansion,1
"NAS_39",Nasiger,Agricultural expansion,1
"NAS_40",Nasiger,Agricultural expansion,1
"NAS_41",Nasiger,Agricultural expansion,1
"NAS_42",Nasiger,Agricultural expansion,1
"NAS_43",Nasiger,Agricultural expansion,1
"NAS_44",Nasiger,Agricultural expansion,1
"NAS_45",Nasiger,Agricultural expansion,1
"NAS_46",Nasiger,Agricultural expansion,1
"NAS_47",Nasiger,Agricultural expansion,1
"NAS_48",Nasiger,Agricultural expansion,1
"NAS_49",Nasiger,Agricultural expansion,1
"NAS_50",Nasiger,Agricultural expansion,1
"NAS_51",Nasiger,Agricultural expansion,1
"NAS_52",Nasiger,Agricultural expansion,1
"NAS_53",Nasiger,Agricultural expansion,1
"NAS_54",Nasiger,Agricultural expansion,1
"NAS_55",Nasiger,Agricultural expansion,1
"NAS_56",Nasiger,Agricultural expansion,1
"NAS_57",Nasiger,Agricultural expansion,1
"NAS_58",Nasiger,Agricultural expansion,1
"NAS_59",Nasiger,Agricultural expansion,1
"NAS_60",Nasiger,Agricultural expansion,1
"NAS_61",Nasiger,Agricultural expansion,1
"NAS_62",Nasiger,Agricultural expansion,1
"NAS_63",Nasiger,Agricultural expansion,1
"NAS_64",Nasiger,Agricultural expansion,1
"NAS_65",Nasiger,Agricultural expansion,1
"NAS_66",Nasiger,Agricultural expansion,1
"NAS_67",Nasiger,Agricultural expansion,1
"NAS_68",Nasiger,Agricultural expansion,1
"NAS_69",Nasiger,Agricultural expansion,1
"NAS_70",Nasiger,Agricultural expansion,1
"NAS_71",Nasiger,Agricultural expansion,1
"NAS_72",Nasiger,Agricultural expansion,1
"NAS_73",Nasiger,Agricultural expansion,1
"NAS_74",Nasiger,Agricultural expansion,1
"NAS_75",Nasiger,Agricultural expansion,1
"NAS_76",Nasiger,Agricultural expansion,1
"NAS_77",Nasiger,Agricultural expansion,1
"NAS_78",Nasiger,Agricultural expansion,1
"NAS_79",Nasiger,Agricultural expansion,1
"NAS_80",Nasiger,Agricultural expansion,1
ATA_1,Atala Kamusio,Agricultural expansion,3
ATA_2,Atala Kamusio,Agricultural expansion,2
ATA_3,Atala Kamusio,Agricultural expansion,3
ATA_4,Atala Kamusio,Agricultural expansion,1
ATA_5,Atala Kamusio,Agricultural expansion,3
ATA_6,Atala Kamusio,Agricultural expansion,2
ATA_7,Atala Kamusio,Agricultural expansion,2
ATA_8,Atala Kamusio,Agricultural expansion,2
ATA_9,Atala Kamusio,Agricultural expansion,1
ATA_10,Atala Kamusio,Agricultural expansion,3
ATA_11,Atala Kamusio,Agricultural expansion,3
ATA_12,Atala Kamusio,Agricultural expansion,1
ATA_13,Atala Kamusio,Agricultural expansion,2
ATA_14,Atala Kamusio,Agricultural expansion,2
ATA_15,Atala Kamusio,Agricultural expansion,1
ATA_16,Atala Kamusio,Agricultural expansion,2
ATA_17,Atala Kamusio,Agricultural expansion,2
ATA_18,Atala Kamusio,Agricultural expansion,2
ATA_19,Atala Kamusio,Agricultural expansion,3
ATA_20,Atala Kamusio,Agricultural expansion,2
ATA_21,Atala Kamusio,Agricultural expansion,2
ATA_22,Atala Kamusio,Agricultural expansion,3
ATA_23,Atala Kamusio,Agricultural expansion,1
ATA_24,Atala Kamusio,Agricultural expansion,2
ATA_25,Atala Kamusio,Agricultural expansion,1
ATA_26,Atala Kamusio,Agricultural expansion,2
ATA_27,Atala Kamusio,Agricultural expansion,1
ATA_28,Atala Kamusio,Agricultural expansion,2
ATA_29,Atala Kamusio,Agricultural expansion,3
ATA_30,Atala Kamusio,Agricultural expansion,1
ATA_31,Atala Kamusio,Agricultural expansion,2
ATA_32,Atala Kamusio,Agricultural expansion,2
ATA_33,Atala Kamusio,Agricultural expansion,2
ATA_34,Atala Kamusio,Agricultural expansion,3
ATA_35,Atala Kamusio,Agricultural expansion,3
ATA_36,Atala Kamusio,Agricultural expansion,3
ATA_37,Atala Kamusio,Agricultural expansion,3
ATA_38,Atala Kamusio,Agricultural expansion,2
ATA_39,Atala Kamusio,Agricultural expansion,3
ATA_40,Atala Kamusio,Agricultural expansion,2
ATA_41,Atala Kamusio,Agricultural expansion,3
ATA_42,Atala Kamusio,Agricultural expansion,1
ATA_43,Atala Kamusio,Agricultural expansion,2
ATA_44,Atala Kamusio,Agricultural expansion,2
ATA_45,Atala Kamusio,Agricultural expansion,3
ATA_46,Atala Kamusio,Agricultural expansion,2
ATA_47,Atala Kamusio,Agricultural expansion,1
ATA_48,Atala Kamusio,Agricultural expansion,1
ATA_49,Atala Kamusio,Agricultural expansion,3
ATA_50,Atala Kamusio,Agricultural expansion,1
ATA_51,Atala Kamusio,Agricultural expansion,3
ATA_52,Atala Kamusio,Agricultural expansion,3
ATA_53,Atala Kamusio,Agricultural expansion,3
ATA_54,Atala Kamusio,Agricultural expansion,3
ATA_55,Atala Kamusio,Agricultural expansion,3
ATA_56,Atala Kamusio,Agricultural expansion,1
ATA_57,Atala Kamusio,Agricultural expansion,2
ATA_58,Atala Kamusio,Agricultural expansion,2
ATA_59,Atala Kamusio,Agricultural expansion,1
ATA_60,Atala Kamusio,Agricultural expansion,3
ATA_61,Atala Kamusio,Agricultural expansion,2
ATA_62,Atala Kamusio,Agricultural expansion,1
ATA_63,Atala Kamusio,Agricultural expansion,3
ATA_64,Atala Kamusio,Agricultural expansion,3
ATA_65,Atala Kamusio,Agricultural expansion,2
ATA_66,Atala Kamusio,Agricultural expansion,1
ATA_67,Atala Kamusio,Agricultural expansion,3
ATA_68,Atala Kamusio,Agricultural expansion,3
ATA_69,Atala Kamusio,Agricultural expansion,2
ATA_70,Atala Kamusio,Agricultural expansion,1
ATA_71,Atala Kamusio,Agricultural expansion,2
ATA_72,Atala Kamusio,Agricultural expansion,3
ATA_73,Atala Kamusio,Agricultural expansion,2
ATA_74,Atala Kamusio,Agricultural expansion,3
ATA_75,Atala Kamusio,Agricultural expansion,1
ATA_76,Atala Kamusio,Agricultural expansion,3
ATA_77,Atala Kamusio,Agricultural expansion,1
ATA_78,Atala Kamusio,Agricultural expansion,1
ATA_79,Atala Kamusio,Agricultural expansion,1
ATA_80,Atala Kamusio,Agricultural expansion,2
LOP_1,Lopur,Agricultural expansion,9
LOP_2,Lopur,Agricultural expansion,8
LOP_3,Lopur,Agricultural expansion,10
LOP_4,Lopur,Agricultural expansion,8
LOP_5,Lopur,Agricultural expansion,8
LOP_6,Lopur,Agricultural expansion,7
LOP_7,Lopur,Agricultural expansion,10
LOP_8,Lopur,Agricultural expansion,8
LOP_9,Lopur,Agricultural expansion,7
LOP_10,Lopur,Agricultural expansion,8
LOP_11,Lopur,Agricultural expansion,6
LOP_12,Lopur,Agricultural expansion,8
LOP_13,Lopur,Agricultural expansion,9
LOP_14,Lopur,Agricultural expansion,9
LOP_15,Lopur,Agricultural expansion,9
LOP_16,Lopur,Agricultural expansion,8
LOP_17,Lopur,Agricultural expansion,8
LOP_18,Lopur,Agricultural expansion,10
LOP_19,Lopur,Agricultural expansion,9
LOP_20,Lopur,Agricultural expansion,10
LOP_21,Lopur,Agricultural expansion,6
LOP_22,Lopur,Agricultural expansion,6
LOP_23,Lopur,Agricultural expansion,10
LOP_24,Lopur,Agricultural expansion,9
LOP_25,Lopur,Agricultural expansion,10
LOP_26,Lopur,Agricultural expansion,6
LOP_27,Lopur,Agricultural expansion,9
LOP_28,Lopur,Agricultural expansion,7
LOP_29,Lopur,Agricultural expansion,7
LOP_30,Lopur,Agricultural expansion,7
LOP_31,Lopur,Agricultural expansion,9
LOP_32,Lopur,Agricultural expansion,10
LOP_33,Lopur,Agricultural expansion,9
LOP_34,Lopur,Agricultural expansion,6
LOP_35,Lopur,Agricultural expansion,8
LOP_36,Lopur,Agricultural expansion,7
LOP_37,Lopur,Agricultural expansion,8
LOP_38,Lopur,Agricultural expansion,8
LOP_39,Lopur,Agricultural expansion,9
LOP_40,Lopur,Agricultural expansion,6
LOP_41,Lopur,Agricultural expansion,9
LOP_42,Lopur,Agricultural expansion,10
LOP_43,Lopur,Agricultural expansion,8
LOP_44,Lopur,Agricultural expansion,8
LOP_45,Lopur,Agricultural expansion,10
LOP_46,Lopur,Agricultural expansion,9
LOP_47,Lopur,Agricultural expansion,9
LOP_48,Lopur,Agricultural expansion,8
LOP_49,Lopur,Agricultural expansion,9
LOP_50,Lopur,Agricultural expansion,10
LOP_51,Lopur,Agricultural expansion,8
LOP_52,Lopur,Agricultural expansion,7
LOP_53,Lopur,Agricultural expansion,9
LOP_54,Lopur,Agricultural expansion,6
LOP_55,Lopur,Agricultural expansion,6
LOP_56,Lopur,Agricultural expansion,7
LOP_57,Lopur,Agricultural expansion,10
LOP_58,Lopur,Agricultural expansion,7
LOP_59,Lopur,Agricultural expansion,10
LOP_60,Lopur,Agricultural expansion,10
LOP_61,Lopur,Agricultural expansion,6
LOP_62,Lopur,Agricultural expansion,9
LOP_63,Lopur,Agricultural expansion,9
LOP_64,Lopur,Agricultural expansion,7
LOP_65,Lopur,Agricultural expansion,9
LOP_66,Lopur,Agricultural expansion,8
LOP_67,Lopur,Agricultural expansion,7
LOP_68,Lopur,Agricultural expansion,9
LOP_69,Lopur,Agricultural expansion,8
LOP_70,Lopur,Agricultural expansion,9
LOP_71,Lopur,Agricultural expansion,8
LOP_72,Lopur,Agricultural expansion,8
LOP_73,Lopur,Agricultural expansion,7
LOP_74,Lopur,Agricultural expansion,7
LOP_75,Lopur,Agricultural expansion,7
LOP_76,Lopur,Agricultural expansion,8
LOP_77,Lopur,Agricultural expansion,9
LOP_78,Lopur,Agricultural expansion,9
LOP_79,Lopur,Agricultural expansion,9
LOP_80,Lopur,Agricultural expansion,9
"NAS_1",Nasiger,Overstocking/overgrazing,5
"NAS_2",Nasiger,Overstocking/overgrazing,7
"NAS_3",Nasiger,Overstocking/overgrazing,7
"NAS_4",Nasiger,Overstocking/overgrazing,9
"NAS_5",Nasiger,Overstocking/overgrazing,9
"NAS_6",Nasiger,Overstocking/overgrazing,5
"NAS_7",Nasiger,Overstocking/overgrazing,7
"NAS_8",Nasiger,Overstocking/overgrazing,9
"NAS_9",Nasiger,Overstocking/overgrazing,5
"NAS_10",Nasiger,Overstocking/overgrazing,8
"NAS_11",Nasiger,Overstocking/overgrazing,9
"NAS_12",Nasiger,Overstocking/overgrazing,9
"NAS_13",Nasiger,Overstocking/overgrazing,9
"NAS_14",Nasiger,Overstocking/overgrazing,7
"NAS_15",Nasiger,Overstocking/overgrazing,6
"NAS_16",Nasiger,Overstocking/overgrazing,8
"NAS_17",Nasiger,Overstocking/overgrazing,8
"NAS_18",Nasiger,Overstocking/overgrazing,8
"NAS_19",Nasiger,Overstocking/overgrazing,9
"NAS_20",Nasiger,Overstocking/overgrazing,6
"NAS_21",Nasiger,Overstocking/overgrazing,9
"NAS_22",Nasiger,Overstocking/overgrazing,7
"NAS_23",Nasiger,Overstocking/overgrazing,8
"NAS_24",Nasiger,Overstocking/overgrazing,8
"NAS_25",Nasiger,Overstocking/overgrazing,5
"NAS_26",Nasiger,Overstocking/overgrazing,8
"NAS_27",Nasiger,Overstocking/overgrazing,9
"NAS_28",Nasiger,Overstocking/overgrazing,9
"NAS_29",Nasiger,Overstocking/overgrazing,5
"NAS_30",Nasiger,Overstocking/overgrazing,6
"NAS_31",Nasiger,Overstocking/overgrazing,9
"NAS_32",Nasiger,Overstocking/overgrazing,5
"NAS_33",Nasiger,Overstocking/overgrazing,5
"NAS_34",Nasiger,Overstocking/overgrazing,9
"NAS_35",Nasiger,Overstocking/overgrazing,9
"NAS_36",Nasiger,Overstocking/overgrazing,4
"NAS_37",Nasiger,Overstocking/overgrazing,7
"NAS_38",Nasiger,Overstocking/overgrazing,8
"NAS_39",Nasiger,Overstocking/overgrazing,6
"NAS_40",Nasiger,Overstocking/overgrazing,4
"NAS_41",Nasiger,Overstocking/overgrazing,8
"NAS_42",Nasiger,Overstocking/overgrazing,6
"NAS_43",Nasiger,Overstocking/overgrazing,7
"NAS_44",Nasiger,Overstocking/overgrazing,4
"NAS_45",Nasiger,Overstocking/overgrazing,6
"NAS_46",Nasiger,Overstocking/overgrazing,9
"NAS_47",Nasiger,Overstocking/overgrazing,7
"NAS_48",Nasiger,Overstocking/overgrazing,5
"NAS_49",Nasiger,Overstocking/overgrazing,9
"NAS_50",Nasiger,Overstocking/overgrazing,9
"NAS_51",Nasiger,Overstocking/overgrazing,8
"NAS_52",Nasiger,Overstocking/overgrazing,6
"NAS_53",Nasiger,Overstocking/overgrazing,4
"NAS_54",Nasiger,Overstocking/overgrazing,6
"NAS_55",Nasiger,Overstocking/overgrazing,8
"NAS_56",Nasiger,Overstocking/overgrazing,9
"NAS_57",Nasiger,Overstocking/overgrazing,9
"NAS_58",Nasiger,Overstocking/overgrazing,7
"NAS_59",Nasiger,Overstocking/overgrazing,8
"NAS_60",Nasiger,Overstocking/overgrazing,7
"NAS_61",Nasiger,Overstocking/overgrazing,5
"NAS_62",Nasiger,Overstocking/overgrazing,9
"NAS_63",Nasiger,Overstocking/overgrazing,8
"NAS_64",Nasiger,Overstocking/overgrazing,7
"NAS_65",Nasiger,Overstocking/overgrazing,9
"NAS_66",Nasiger,Overstocking/overgrazing,8
"NAS_67",Nasiger,Overstocking/overgrazing,8
"NAS_68",Nasiger,Overstocking/overgrazing,7
"NAS_69",Nasiger,Overstocking/overgrazing,7
"NAS_70",Nasiger,Overstocking/overgrazing,9
"NAS_71",Nasiger,Overstocking/overgrazing,5
"NAS_72",Nasiger,Overstocking/overgrazing,4
"NAS_73",Nasiger,Overstocking/overgrazing,8
"NAS_74",Nasiger,Overstocking/overgrazing,8
"NAS_75",Nasiger,Overstocking/overgrazing,8
"NAS_76",Nasiger,Overstocking/overgrazing,9
"NAS_77",Nasiger,Overstocking/overgrazing,7
"NAS_78",Nasiger,Overstocking/overgrazing,8
"NAS_79",Nasiger,Overstocking/overgrazing,7
"NAS_80",Nasiger,Overstocking/overgrazing,8
ATA_1,Atala Kamusio,Overstocking/overgrazing,6
ATA_2,Atala Kamusio,Overstocking/overgrazing,8
ATA_3,Atala Kamusio,Overstocking/overgrazing,7
ATA_4,Atala Kamusio,Overstocking/overgrazing,7
ATA_5,Atala Kamusio,Overstocking/overgrazing,9
ATA_6,Atala Kamusio,Overstocking/overgrazing,10
ATA_7,Atala Kamusio,Overstocking/overgrazing,7
ATA_8,Atala Kamusio,Overstocking/overgrazing,10
ATA_9,Atala Kamusio,Overstocking/overgrazing,10
ATA_10,Atala Kamusio,Overstocking/overgrazing,9
ATA_11,Atala Kamusio,Overstocking/overgrazing,7
ATA_12,Atala Kamusio,Overstocking/overgrazing,8
ATA_13,Atala Kamusio,Overstocking/overgrazing,7
ATA_14,Atala Kamusio,Overstocking/overgrazing,6
ATA_15,Atala Kamusio,Overstocking/overgrazing,9
ATA_16,Atala Kamusio,Overstocking/overgrazing,6
ATA_17,Atala Kamusio,Overstocking/overgrazing,7
ATA_18,Atala Kamusio,Overstocking/overgrazing,8
ATA_19,Atala Kamusio,Overstocking/overgrazing,6
ATA_20,Atala Kamusio,Overstocking/overgrazing,9
ATA_21,Atala Kamusio,Overstocking/overgrazing,10
ATA_22,Atala Kamusio,Overstocking/overgrazing,7
ATA_23,Atala Kamusio,Overstocking/overgrazing,8
ATA_24,Atala Kamusio,Overstocking/overgrazing,7
ATA_25,Atala Kamusio,Overstocking/overgrazing,8
ATA_26,Atala Kamusio,Overstocking/overgrazing,8
ATA_27,Atala Kamusio,Overstocking/overgrazing,10
ATA_28,Atala Kamusio,Overstocking/overgrazing,10
ATA_29,Atala Kamusio,Overstocking/overgrazing,9
ATA_30,Atala Kamusio,Overstocking/overgrazing,7
ATA_31,Atala Kamusio,Overstocking/overgrazing,7
ATA_32,Atala Kamusio,Overstocking/overgrazing,8
ATA_33,Atala Kamusio,Overstocking/overgrazing,6
ATA_34,Atala Kamusio,Overstocking/overgrazing,6
ATA_35,Atala Kamusio,Overstocking/overgrazing,6
ATA_36,Atala Kamusio,Overstocking/overgrazing,10
ATA_37,Atala Kamusio,Overstocking/overgrazing,7
ATA_38,Atala Kamusio,Overstocking/overgrazing,7
ATA_39,Atala Kamusio,Overstocking/overgrazing,8
ATA_40,Atala Kamusio,Overstocking/overgrazing,10
ATA_41,Atala Kamusio,Overstocking/overgrazing,6
ATA_42,Atala Kamusio,Overstocking/overgrazing,7
ATA_43,Atala Kamusio,Overstocking/overgrazing,9
ATA_44,Atala Kamusio,Overstocking/overgrazing,8
ATA_45,Atala Kamusio,Overstocking/overgrazing,8
ATA_46,Atala Kamusio,Overstocking/overgrazing,9
ATA_47,Atala Kamusio,Overstocking/overgrazing,10
ATA_48,Atala Kamusio,Overstocking/overgrazing,7
ATA_49,Atala Kamusio,Overstocking/overgrazing,8
ATA_50,Atala Kamusio,Overstocking/overgrazing,10
ATA_51,Atala Kamusio,Overstocking/overgrazing,7
ATA_52,Atala Kamusio,Overstocking/overgrazing,7
ATA_53,Atala Kamusio,Overstocking/overgrazing,6
ATA_54,Atala Kamusio,Overstocking/overgrazing,6
ATA_55,Atala Kamusio,Overstocking/overgrazing,6
ATA_56,Atala Kamusio,Overstocking/overgrazing,6
ATA_57,Atala Kamusio,Overstocking/overgrazing,8
ATA_58,Atala Kamusio,Overstocking/overgrazing,9
ATA_59,Atala Kamusio,Overstocking/overgrazing,8
ATA_60,Atala Kamusio,Overstocking/overgrazing,10
ATA_61,Atala Kamusio,Overstocking/overgrazing,8
ATA_62,Atala Kamusio,Overstocking/overgrazing,10
ATA_63,Atala Kamusio,Overstocking/overgrazing,10
ATA_64,Atala Kamusio,Overstocking/overgrazing,8
ATA_65,Atala Kamusio,Overstocking/overgrazing,9
ATA_66,Atala Kamusio,Overstocking/overgrazing,6
ATA_67,Atala Kamusio,Overstocking/overgrazing,8
ATA_68,Atala Kamusio,Overstocking/overgrazing,10
ATA_69,Atala Kamusio,Overstocking/overgrazing,6
ATA_70,Atala Kamusio,Overstocking/overgrazing,9
ATA_71,Atala Kamusio,Overstocking/overgrazing,8
ATA_72,Atala Kamusio,Overstocking/overgrazing,6
ATA_73,Atala Kamusio,Overstocking/overgrazing,9
ATA_74,Atala Kamusio,Overstocking/overgrazing,7
ATA_75,Atala Kamusio,Overstocking/overgrazing,7
ATA_76,Atala Kamusio,Overstocking/overgrazing,9
ATA_77,Atala Kamusio,Overstocking/overgrazing,8
ATA_78,Atala Kamusio,Overstocking/overgrazing,7
ATA_79,Atala Kamusio,Overstocking/overgrazing,10
ATA_80,Atala Kamusio,Overstocking/overgrazing,10
LOP_1,Lopur,Overstocking/overgrazing,6
LOP_2,Lopur,Overstocking/overgrazing,8
LOP_3,Lopur,Overstocking/overgrazing,6
LOP_4,Lopur,Overstocking/overgrazing,6
LOP_5,Lopur,Overstocking/overgrazing,7
LOP_6,Lopur,Overstocking/overgrazing,7
LOP_7,Lopur,Overstocking/overgrazing,9
LOP_8,Lopur,Overstocking/overgrazing,8
LOP_9,Lopur,Overstocking/overgrazing,6
LOP_10,Lopur,Overstocking/overgrazing,7
LOP_11,Lopur,Overstocking/overgrazing,7
LOP_12,Lopur,Overstocking/overgrazing,6
LOP_13,Lopur,Overstocking/overgrazing,8
LOP_14,Lopur,Overstocking/overgrazing,8
LOP_15,Lopur,Overstocking/overgrazing,8
LOP_16,Lopur,Overstocking/overgrazing,6
LOP_17,Lopur,Overstocking/overgrazing,7
LOP_18,Lopur,Overstocking/overgrazing,8
LOP_19,Lopur,Overstocking/overgrazing,8
LOP_20,Lopur,Overstocking/overgrazing,9
